Position,Const,Created,Modified,Description,Name,Known For,Birth Date
281,nm0393222,2023-03-14,2023-03-14,,"James Hong","Everything Everywhere All at Once","February 22, 1929"
282,nm0578853,2023-03-15,2023-03-15,,"Ben Mendelsohn","Rogue One","April 3, 1969"
283,nm0376716,2023-03-15,2023-03-15,,"Christina Hendricks","Ginger & Rosa","May 3, 1975"
284,nm0005128,2023-03-15,2023-03-15,,"Lucy Lawless","Xena: Warrior Princess","March 29, 1968"
285,nm0004770,2023-03-15,2023-03-15,,"David Boreanaz","Angel","May 16, 1969"
286,nm0551346,2023-03-15,2023-03-15,,"James Marsters","Buffy the Vampire Slayer","August 20, 1962"
287,nm0540441,2023-03-15,2023-03-15,,"Jena Malone","The Neon Demon","November 21, 1984"
288,nm0000652,2023-03-15,2023-03-15,,"James Spader","The Blacklist","February 7, 1960"
289,nm0001745,2023-03-15,2023-03-15,,"Stellan Skarsgård","Good Will Hunting","June 13"
290,nm0001015,2023-03-15,2023-03-15,,"Robert Carlyle","The Full Monty","April 14, 1961"
291,nm0001185,2023-03-15,2023-03-15,,"Hector Elizondo","Pretty Woman","December 22, 1936"
292,nm0005450,2023-03-15,2023-03-15,,"David Spade","Joe Dirt","July 22, 1964"
293,nm0740264,2023-03-15,2023-03-15,,"Michael Rooker","Guardians of the Galaxy","April 6, 1955"
294,nm0006969,2023-03-15,2023-03-15,,"Elizabeth Banks","The Hunger Games","February 10, 1974"
295,nm1813221,2023-07-07,2023-07-07,,"Gugu Mbatha-Raw","Belle","April 21, 1983"
296,nm0001062,2023-07-07,2023-07-07,,"Jeffrey Combs","The Frighteners","September 9, 1954"
297,nm0004912,2023-07-07,2023-07-07,,"Oded Fehr","House of David","November 23, 1970"
298,nm2074546,2023-07-07,2023-07-07,,"Regé-Jean Page","Roots","January 24"
299,nm3772243,2023-07-07,2023-07-07,,"Theo James","Divergent","December 16, 1984"
300,nm0810619,2023-07-07,2023-07-07,,"Jurnee Smollett","The Order","October 1"
301,nm0001593,2023-07-07,2023-07-07,,"Anna Paquin","The Piano","July 24, 1982"
302,nm0005541,2023-07-07,2023-07-07,,"Marlon Wayans","White Chicks","July 23, 1972"
303,nm5939164,2023-07-07,2023-07-07,,"Zazie Beetz","Atlanta","June 1, 1991"
304,nm0996669,2023-07-07,2023-07-07,,"Common","John Wick: Chapter 2","March 13, 1972"
305,nm0005221,2023-07-11,2023-07-11,,"Christopher Meloni","Man of Steel","April 2, 1961"
306,nm0000207,2023-07-11,2023-07-11,,"Christina Ricci","Buffalo '66","February 12, 1980"
307,nm0920992,2023-07-11,2023-07-11,,"David Wenham","The Lord of the Rings: The Return of the King","September 21, 1965"
308,nm4004793,2023-07-11,2023-07-11,,"Letitia Wright","Black Panther","October 31, 1993"
309,nm0000236,2023-07-11,2023-07-11,,"Jennifer Tilly","Bound","September 16, 1958"
310,nm2255973,2023-07-11,2023-07-11,,"Donald Glover","Community","September 25, 1983"
311,nm1070597,2023-07-11,2023-07-11,,"The Weeknd","The Idol","February 16, 1990"
312,nm0582149,2023-07-11,2023-07-11,,"Chris Messina","Argo","August 11, 1974"
313,nm0000239,2023-07-11,2023-07-11,,"Liv Tyler","Armageddon","July 1, 1977"
314,nm0396558,2023-07-12,2023-07-12,,"Nicholas Hoult","About a Boy","December 7, 1989"
315,nm1289434,2023-07-12,2023-07-12,,"Emily Blunt","Edge of Tomorrow","February 23, 1983"
316,nm0757855,2023-07-12,2023-07-12,,"Zoe Saldaña","Avatar","June 19, 1978"
317,nm0000117,2023-07-12,2023-07-12,,"Neve Campbell","Scream","October 3, 1973"
318,nm0000760,2023-07-12,2023-07-12,,"Richard Dean Anderson","Stargate SG-1","January 23, 1950"
319,nm0025309,2023-07-12,2023-07-12,,"John Amos","Coming to America","December 27, 1939"
320,nm0000327,2023-07-12,2023-07-12,,"Lacey Chabert","Mean Girls","September 30, 1982"
321,nm0705356,2023-07-12,2023-07-12,,"Daniel Radcliffe","Harry Potter and the Order of the Phoenix","July 23, 1989"
322,nm0597388,2023-07-13,2023-07-13,,"Jason Momoa","Aquaman","August 1, 1979"
323,nm1157048,2023-07-13,2023-07-13,,"Zachary Levi","Shazam!","September 29, 1980"
324,nm0079273,2023-07-13,2023-07-13,,"Paul Bettany","WandaVision","May 27, 1971"
325,nm0001617,2023-07-13,2023-07-13,,"Lou Diamond Phillips","Courage Under Fire","February 17, 1962"
326,nm0000530,2023-07-13,2023-07-13,,"Andrew McCarthy","Orange Is the New Black","November 29, 1962"
327,nm0004517,2023-07-13,2023-07-13,,"Jason Alexander","Seinfeld","September 23, 1959"
328,nm0001664,2023-07-13,2023-07-13,,"James Remar","Sex and the City: A Farewell","December 31, 1953"
329,nm1130627,2023-07-13,2023-07-13,,"Cobie Smulders","The Avengers","April 3, 1982"
330,nm1360270,2023-07-13,2023-07-13,,"Ben McKenzie","Gotham","September 12, 1978"
331,nm5611121,2023-07-13,2023-07-13,,"Millie Bobby Brown","Enola Holmes","February 19, 2004"
332,nm0911320,2023-07-13,2023-07-13,,"Patrick Warburton","The Emperor's New Groove","November 14, 1964"
333,nm0491402,2023-07-13,2023-07-13,,"Hugh Laurie","House M.D.","June 11, 1959"
334,nm0050959,2023-07-13,2023-07-13,,"Pedro Pascal","The Last of Us","April 2, 1975"
335,nm4911194,2023-07-13,2023-07-13,,"Jenna Ortega","Wednesday","September 27, 2002"
336,nm0568180,2023-07-20,2023-07-20,,"Neal McDonough","Minority Report","February 13, 1966"
337,nm0000096,2023-07-20,2023-07-20,,"Gillian Anderson","The X Files","August 9, 1968"
338,nm0005380,2023-07-20,2023-07-20,,"Ray Romano","Everybody Loves Raymond","December 21, 1957"
339,nm0350079,2023-07-20,2023-07-20,,"Luis Guzmán","Punch-Drunk Love","August 28, 1956"
340,nm0001592,2023-07-20,2023-07-20,,"Joe Pantoliano","Memento","September 12, 1951"
341,nm2309517,2023-07-20,2023-07-20,,"Armie Hammer","Call Me by Your Name","August 28, 1986"
342,nm0938950,2023-07-20,2023-07-20,,"Benedict Wong","Annihilation","February 20, 1970"
343,nm0005112,2023-08-30,2023-08-30,,"LL Cool J","Deep Blue Sea","January 14, 1968"
344,nm0000461,2023-08-30,2023-08-30,,"Michael Ironside","Starship Troopers","February 12, 1950"
345,nm0001074,2023-08-30,2023-08-30,,"Ronny Cox","Total Recall","July 23, 1938"
346,nm0015382,2023-08-30,2023-08-30,,"Adewale Akinnuoye-Agbaje","Farming","August 22, 1967"
347,nm0005221,2023-08-30,2023-08-30,,"Christopher Meloni","Man of Steel","April 2, 1961"
348,nm0000209,2023-08-30,2023-08-30,,"Tim Robbins","Mystic River","October 16, 1958"
349,nm6578009,2023-08-30,2023-08-30,,"O'Shea Jackson Jr.","Straight Outta Compton","February 24, 1991"
350,nm0004820,2023-08-30,2023-08-30,,"Morris Chestnut","Kick-Ass 2","January 1, 1969"
351,nm0000459,2024-02-09,2024-02-09,,"Timothy Hutton","Ordinary People","August 16, 1960"
352,nm0155693,2024-02-09,2024-02-09,,"Kristin Chenoweth","Pushing Daisies","July 24, 1968"
353,nm0089217,2024-02-09,2024-02-09,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","January 13, 1977"
354,nm0085312,2024-02-09,2024-02-09,,"Jack Black","School of Rock","August 28, 1969"
355,nm4874651,2024-02-09,2024-02-09,,"Dove Cameron","Schmigadoon!","January 15, 1996"
356,nm0515116,2024-02-09,2024-02-09,,"Blake Lively","Gossip Girl","August 25, 1987"
357,nm0397171,2024-02-09,2024-02-09,,"Bryce Dallas Howard","Jurassic World: Dominion","March 2, 1981"
358,nm1374980,2024-02-09,2024-02-09,,"Zac Efron","17 Again","October 18, 1987"
359,nm0005226,2024-02-09,2024-02-09,,"Debra Messing","Will & Grace","August 15, 1968"
360,nm3592338,2024-02-09,2024-02-09,,"Emilia Clarke","Game of Thrones","October 23, 1986"
361,nm0000506,2024-02-09,2024-02-09,,"Julia Louis-Dreyfus","Seinfeld","January 13, 1961"
362,nm0491402,2024-02-09,2024-02-09,,"Hugh Laurie","House M.D.","June 11, 1959"
363,nm0534635,2024-02-09,2024-02-09,,"Richard Madden","Game of Thrones","June 18, 1986"
364,nm1227814,2024-02-09,2024-02-09,,"Vanessa Hudgens","High School Musical 3: Senior Year","December 14, 1988"
365,nm2255973,2024-02-09,2024-02-09,,"Donald Glover","Community","September 25, 1983"
366,nm1231899,2024-02-09,2024-02-09,,"Priyanka Chopra Jonas","Barfi!","July 18, 1982"
367,nm0447695,2024-02-09,2024-02-09,,"Anna Kendrick","Up in the Air","August 9, 1985"
368,nm0712368,2024-02-09,2024-02-09,,"Raven-Symoné","That's So Raven","December 10, 1985"
369,nm0860380,2024-02-09,2024-02-09,,"Kenan Thompson","Saturday Night Live","May 10, 1978"
370,nm0925966,2024-02-09,2024-02-09,,"Bradley Whitford","Get Out","October 10, 1959"
371,nm0642145,2024-02-09,2024-02-09,,"Ed O'Neill","Married with Children","April 12, 1946"
372,nm0000514,2024-02-09,2024-02-09,,"Michael Madsen","The Hateful Eight","September 25, 1957"
373,nm7140802,2024-02-09,2024-02-09,,"Gaten Matarazzo","Stranger Things","September 8, 2002"
374,nm0785227,2024-02-09,2024-02-09,,"Andy Serkis","War for the Planet of the Apes","April 20, 1964"
375,nm0001116,2024-02-09,2024-02-09,,"Warwick Davis","Willow","February 3, 1970"
376,nm0597480,2024-02-09,2024-02-09,,"Dominic Monaghan","The Lord of the Rings: The Fellowship of the Ring","December 8, 1976"
