Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Double Jeopardy,1999,24 Sep 1999,"Crime, Drama, Mystery",105 min,Bruce Beresford,"David Weisberg, Douglas Cook","Ashley Judd, Tommy Lee Jones, Bruce Greenwood",R,6.5,41,"99,974",1 win & 3 nominations total,"$116,741,558","United States, Germany, Canada",English,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,https://m.media-amazon.com/images/M/MV5BZGFhMzVkYmQtYzI4OS00ZTYxLThjYTItYzZjYzY2OTlkMGQ4XkEyXkFqcGc@._V1_SX300.jpg
The Love Witch,2016,10 Mar 2017,"Comedy, Horror, Romance",120 min,Anna Biller,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell",Unrated,6.2,82,"22,203",3 wins & 5 nominations total,"$228,894",United States,English,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder. With a visual style that pays tribute to Technicolor thrillers of the 1970s, THE LOVE WITCH explores female fantasy and the repercussions of pathological narcissism.",https://m.media-amazon.com/images/M/MV5BMjA5NDEyMjQwNV5BMl5BanBnXkFtZTgwNDQ1MjMwMDI@._V1_SX300.jpg
The Noel Diary,2022,24 Nov 2022,"Comedy, Drama, Romance",99 min,Charles Shyer,"Charles Shyer, Rebecca Connor, David Golden","Justin Hartley, Barrett Doss, Bonnie Bedelia",TV-14,6.2,63,"20,986",N/A,N/A,United States,English,"Jacob Churcher hasn't been home for almost twenty years not since his mentally ill mother kicked him out of the house when he was just sixteen. When a lawyer calls, days before Christmas, to inform him that his estranged mother has passed away and left her house to him, Jacob returns not just to settle the estate but to try and reconcile with the past and the pain and abuse he experienced as a child. Also, maybe cleaning out her house will be slightly less depressing than spending the holidays alone, watching re-runs of Christmas classics. But as it turns out, the house holds more than just difficult memories, Jacob's mother had become a hoarder and he must excavate through two decades worth of clutter.",https://m.media-amazon.com/images/M/MV5BZjg0M2M2MWUtZTMzZC00MDI0LTliMmYtM2VmMjllMDM0NWQ0XkEyXkFqcGc@._V1_SX300.jpg
Renfield,2023,14 Apr 2023,"Action, Comedy, Fantasy",93 min,Chris McKay,"Ryan Ridley, Robert Kirkman, Ava Tramer","Nicholas Hoult, Nicolas Cage, Awkwafina",R,6.4,53,"114,119",2 wins & 13 nominations total,"$17,297,895","United States, United Kingdom, Canada","English, French","Renfield, Dracula's tortured henchman, is forced to capture prey for his master and do his every bidding. But now, after centuries of servitude, Renfield is ready to see if there is a life outside his boss's shadow.",https://m.media-amazon.com/images/M/MV5BNDY2MWVmMTUtMTBkMS00ZWI4LWFlMDQtYjE0ZWM2NTc2NWExXkEyXkFqcGc@._V1_SX300.jpg
Valkyrie,2008,25 Dec 2008,"Drama, History, Thriller",121 min,Bryan Singer,"Christopher McQuarrie, Nathan Alexander","Tom Cruise, Bill Nighy, Carice van Houten",PG-13,7.1,56,"267,657",3 wins & 11 nominations total,"$83,077,833","United Kingdom, France, Germany, Italy, Spain, Japan, United States","English, German","In Nazi Germany during World War II, as the tide turned in favor of the Allies, a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a nearly inevitable defeat. To this end, Colonel Claus von Stauffenberg, an Army officer convinced he must save Germany from Adolf Hitler, is recruited to mastermind a real plan. To do so, he arranges for the internal emergency measure, Operation: Valkyrie, to be changed to enable his fellows to seize control of Berlin after the assassination of Der Führer. However, even as the plan is put into action, a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe.",https://m.media-amazon.com/images/M/MV5BMTg3Njc2ODEyN15BMl5BanBnXkFtZTcwNTAwMzc3NA@@._V1_SX300.jpg
Daddy's Home 2,2017,10 Nov 2017,Comedy,100 min,Sean Anders,"Sean Anders, John Morris, Brian Burns","Will Ferrell, Mark Wahlberg, Mel Gibson",PG-13,6.0,30,"88,662",1 win & 8 nominations total,"$104,029,443",United States,"English, Spanish","After burying the hatchet in Daddy's Home (2015), the stepfather with a heart of gold, Brad, and the kids' biological dad with the perfect six-pack, Dusty, are now proud co-dads, working in unison to care for Megan and Dylan. This year, with Christmas just around the corner, the once-incompatible parents and their families decide to spend the holidays together; however, things will take a turn for the unexpected when Dusty's alpha-dad, Kurt, and Brad's touchy-feely father, Don, decide to pay a visit. Now--as the merry holidaymakers end up in a snow-capped cabin for a week--it seems that there's no escape from an impending Yuletide disaster unless the two pairs of fathers learn how to coexist and work together for the sake of the kids. Will things work out in the end? Can the four daddies save Christmas?",https://m.media-amazon.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_SX300.jpg
National Treasure: Book of Secrets,2007,21 Dec 2007,"Action, Adventure, Mystery",124 min,Jon Turteltaub,"Marianne Wibberley, Cormac Wibberley, Gregory Poirier","Nicolas Cage, Diane Kruger, Justin Bartha",PG,6.5,48,"261,790",1 win & 5 nominations total,"$219,964,115",United States,"English, French","Several years since Benjamin Franklin Gates (Nicolas Cage) found the Knight's Templar and became rich and famous. Now, another treasure hunter named Mitch Wilkinson (Ed Harris) has found what is a missing page of the diary of John Wilkes Booth, which contains clues to the location of a lost city of gold, Ben must compete against Mitch to find the lost city, he goes to France and Great Britain to find other clues and even peak inside the President's secret book to put the pieces of the puzzle together, his parents and his friends also help Ben find the lost city and to stay one step ahead of Mitch.",https://m.media-amazon.com/images/M/MV5BMjEwMjUyOTQ0MF5BMl5BanBnXkFtZTYwODA2Njk3._V1_SX300.jpg
All About Eve,1950,27 Oct 1950,Drama,138 min,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",Approved,8.2,98,"145,739",Won 6 Oscars. 27 wins & 22 nominations total,"$63,463",United States,"English, French","Eve Harrington (Anne Baxter) is waiting backstage to meet her idol, talented but aging Broadway star Margo Channing (Bette Davis). It seems innocent enough as Eve explains that she has seen Margo in EVERY performance of her current play. Margo and her friends take Eve under their wing but only theatre critic Addison DeWitt (George Sanders) sees through Eve's evil plan, which is to take Margo's parts and her fiancé, Bill Simpson (Gary Merrill) too.",https://m.media-amazon.com/images/M/MV5BOTM4ZjUzOGUtYzdlZi00ZmM5LTk5NTEtMjQxNDVmOTc5NWNlXkEyXkFqcGc@._V1_SX300.jpg
Predators,2010,09 Jul 2010,"Action, Adventure, Sci-Fi",107 min,Nimród Antal,"Alex Litvak, Michael Finch, Jim Thomas","Adrien Brody, Laurence Fishburne, Topher Grace",R,6.4,51,"250,491",2 wins & 4 nominations total,"$52,000,688",United States,"English, Spanish, Russian","When a group of elite warriors find themselves in a jungle they realize that they are on a completely different planet and it's home to a race of extraterrestrial hunters. The group consists of a mercenary known as Royce, an IDF sniper known as Isabelle, a Russian Spetsnaz known as Nikolai, a drug cartel enforcer known as Cuchillo, an RUF officer known as Mombasa, a death row inmate known as Stans, a Yakuza assassin known as Hanzo, and an American doctor known as Edwin. It's up to these 8 individuals to stop their hunters and get off the planet.",https://m.media-amazon.com/images/M/MV5BODNhMWY0MDQtNjgwZC00YjM3LWEwMDItMWM3MTg4ZjA5ODgwXkEyXkFqcGc@._V1_SX300.jpg
Wild Things: Diamonds in the Rough,2005,19 Feb 2005,"Crime, Drama, Mystery",87 min,Jay Lowi,"Andy Hurst, Ross Helford, Stephen Peters","Sarah Laine, Brad Johnson, Michael Mantell",R,4.5,N/A,"5,577",N/A,N/A,United States,English,"Once again set in the oceanfront Florida city of Blue Bay, ""Wild Things 3"" tells the tale of snobby rich girl Marie Clifton. Although she lives the life of luxury, Marie's distraught over her stepfather not giving her a pair of diamonds, valued at over $4 million, that are entitled to her in her late mother's will. That is, until one of her classmates, the local bad girl Elena Sandoval, accuses her stepfather of rape. Soon, it's deja Vi all over again as Detective Michael Morrison and probation officer Kristen Richards investigate, but as with the first ""Wild Things"" everything is not what it seems to be, and everybody has secrets to hide.",https://m.media-amazon.com/images/M/MV5BZjBjMzk5ZjMtNmNkNi00NWM5LTkyMzAtMzk5NWRkMmQyNWFkXkEyXkFqcGc@._V1_SX300.jpg
I Care a Lot,2020,19 Feb 2021,"Comedy, Crime, Drama",118 min,J Blakeson,J Blakeson,"Rosamund Pike, Peter Dinklage, Eiza González",R,6.4,66,"153,834",1 win & 6 nominations total,N/A,"United States, United Kingdom",English,"Poised with sharklike self-assurance, Marla Grayson is a professional, court-appointed guardian for dozens of elderly wards whose assets she seizes and cunningly bilks through dubious but legal means. It's a well-oiled racket that Marla and her business-partner and lover, Fran, use with brutal efficiency on their latest ""cherry,"" Jennifer Peterson - a wealthy retiree with no living heirs or family. But when their mark turns out to have an equally shady secret of her own and connections to a volatile gangster, Marla is forced to level up in a game only predators can play - one that's neither fair, nor square.",https://m.media-amazon.com/images/M/MV5BNTg5M2NlZDItMmI5Yi00N2VmLTgyYmMtNDgzMzQ2ZjlmNzg5XkEyXkFqcGc@._V1_SX300.jpg
Eighth Grade,2018,03 Aug 2018,"Comedy, Drama",93 min,Bo Burnham,Bo Burnham,"Elsie Fisher, Josh Hamilton, Emily Robinson",R,7.4,87,"83,906",60 wins & 94 nominations,"$13,539,709",United States,English,"In his feature film directorial debut, comedian Bo Burnham deftly encapsulates the awkwardness, angst, self-loathing and reinvention that a teenage girl goes through on the cusp of high school. Given that the 27-year-old stand-up comic achieved fame as a teenager himself through YouTube by riffing on his insecurities, he is uniquely capable as the film's writer and director to tell the story of Kayla, an anxious girl navigating the final days of her eighth grade year, despite creating a protagonist female instead of male. Like Burnham did more than a decade ago, 13-year-old Kayla turns to YouTube to express herself, where she makes advice blogs in which she pretends to have it all together. In reality, Kayla is sullen and silent around her single father and her peers at school, carrying out most of her interactions with her classmates on Instagram and Twitter. Her YouTube videos are a clever narrative tool that provide insight into her inner hopes and dreams, much like an inspirational online diary. One of Eighth Grade's biggest triumphs is in its realism.",https://m.media-amazon.com/images/M/MV5BMTUyYzNiZTQtZGEwYi00ZjdiLTk5ZjctYTAxZTY3YmY0OThlXkEyXkFqcGc@._V1_SX300.jpg
Skin,2018,23 Jul 2019,"Biography, Crime, Drama",118 min,Guy Nattiv,Guy Nattiv,"Jamie Bell, Danielle Macdonald, Daniel Henshall",R,6.8,58,"20,170",1 win & 3 nominations total,N/A,"United States, Canada, Brazil, China",English,"A notorious skinhead falls in love with a woman and her three daughters, and undergoes painful treatments to remove the tattoos covering his entire face and body - the physical representation of the hate he exhibited to the world for more than half his life. Based on the true story of Bryon Widner.",https://m.media-amazon.com/images/M/MV5BYzI5YWFhZjgtNzZjZS00OGY2LWE4NzktMWQ1ZjMzZmQyNjNiXkEyXkFqcGc@._V1_SX300.jpg
Sin City: A Dame to Kill For,2014,22 Aug 2014,"Action, Crime, Thriller",102 min,"Frank Miller, Robert Rodriguez",Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin",R,6.5,46,"173,628",4 wins & 6 nominations total,"$13,757,804","United States, United Kingdom",English,"Marv is unconscious on a highway surrounded by corpses. When he awakes, he has amnesia and tries to recall his last steps from the Kadie's saloon on the Saturday night. He recalls that he found four playboys burning a homeless man alive and defended the poor man. Marv hunts them down and kills the group. The cocky gambler Johnny hits jackpot in slot machines in the Kadie's saloon and invites the waitress Marcie to go with him to play poker game against the powerful Senator Roark. He wins the game and suffers the consequence of his arrogance. The private detective Dwight McCarthy is contacted by his former lover Ava Lord that asks to meet him at the Kadie's saloon. Ava asks him for forgiveness for leaving him to marry the wealthy Damian Lord. However her strong chauffeur Manute takes her home. Dwight snoops around Ava's house but is found and beaten by Manute and the bodyguards. When he returns home, Ava is waiting for him naked in the bed and seduces him again. Then she tells that Damian and Manute torture her and soon she will be killed. Once again Manute takes Ava with him and hits Dwight that invites Marv to help him to rescue Ava. Damian denies the accusation but Dwight beats him to death while Marv tear Manute's eye out. But soon Dwight finds that he was lured by Ava that shoots him. Marv rescues Dwight and takes him to the Old Town where Dwight finds his former lover Gail that helps him to recover while Dwight plots revenge against Ava.",https://m.media-amazon.com/images/M/MV5BMjA5ODYwNjgxMF5BMl5BanBnXkFtZTgwMTcwNzAyMjE@._V1_SX300.jpg
Wall Street,1987,11 Dec 1987,"Crime, Drama",126 min,Oliver Stone,"Stanley Weiser, Oliver Stone","Charlie Sheen, Michael Douglas, Tamara Tunie",R,7.3,56,"170,237",Won 1 Oscar. 9 wins & 4 nominations total,"$43,848,069",United States,English,"On the Wall Street of the 1980s, Bud Fox is a stockbroker full of ambition, doing whatever he can to make his way to the top. Admiring the power of the unsparing corporate raider Gordon Gekko, Fox entices Gekko into mentoring him by providing insider trading. As Fox becomes embroiled in greed and underhanded schemes, his decisions eventually threaten the livelihood of his scrupulous father. Faced with this dilemma, Fox questions his loyalties.",https://m.media-amazon.com/images/M/MV5BMWQ4NDY4NTktYjE5NS00MWQ5LWFmZTUtNjk5NjA4Mzc3ODNhXkEyXkFqcGc@._V1_SX300.jpg
Monster House,2006,21 Jul 2006,"Animation, Comedy, Family",91 min,Gil Kenan,"Dan Harmon, Rob Schrab, Pamela Pettler","Mitchel Musso, Sam Lerner, Spencer Locke",PG,6.7,68,"147,650",Nominated for 1 Oscar. 4 wins & 23 nominations total,"$73,661,010",United States,English,"13-year-old DJ is observing his neighbor Nebbercracker on the other side of the street in the suburb that destroys tricycles of children that trespass his lawn. When DJ's parents travel on the eve of Halloween and the abusive babysitter Zee stays with him, he calls his clumsy best friend Chowder to play basketball. But when the ball falls in Nebbercracker's lawn, the old man has a heart attack, and soon they find that the house is a monster. Later the boys rescue the smart Jenny from the house and the trio unsuccessfully tries to convince the babysitter, her boyfriend Bones and two police officers that the haunted house is a monster, but nobody believes them. The teenagers ask their video-game addicted acquaintance Skull how to destroy the house, and they disclose its secret on the Halloween night.",https://m.media-amazon.com/images/M/MV5BMTIzNjE1NDg1N15BMl5BanBnXkFtZTcwOTg2NTMzMQ@@._V1_SX300.jpg
Megan Is Missing,2011,01 May 2011,"Drama, Horror, Thriller",85 min,Michael Goi,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite",Not Rated,4.6,N/A,"18,962",1 nomination total,N/A,United States,English,"Megan Stewart, 14, and her best friend Amy Herman, 13, though opposites in personality, are best friends. Megan carries the front of being the most popular girl in school, but this masks a lifestyle of hard partying, drugs, alcohol and indiscriminate sex. Amy, unpopular and socially awkward, clings to her relationship with Megan as a lifeline to social acceptance. Together, these two young girls forge a deep friendship based on their mutual needs. The two girls regularly communicate by web chat cameras or cell phone, and even meet boys online. As Megan seeks friends who are different from her usual posse of hanger-ons, she is introduced by a friend online to a 17 year-old boy named Josh in a chat room. Megan and Josh bond quickly, leaving Amy feeling a bit left out. One day, Megan goes to meet Josh in person, and she is never seen again. Amy launches into a concentrated effort to find her friend. As the media swirls around the story of Megan's disappearance, Amy discovers the horrifying truth about what happened to her friend. Based on research into seven actual cases of child abduction, MEGAN IS MISSING is an uncompromising, gut-wrenching view of the world children live in today. Harrowing in its realism, the film uses only fact-based incidences to depict the lives of ordinary kids walking in the midst of extraordinary evil.",https://m.media-amazon.com/images/M/MV5BMTU0NzYxNjIzM15BMl5BanBnXkFtZTcwOTU0NDM1Mw@@._V1_SX300.jpg
The Ten Commandments,1956,05 Oct 1956,"Adventure, Drama, Family",220 min,Cecil B. DeMille,"Dorothy Clarke Wilson, J.H. Ingraham, A.E. Southon","Charlton Heston, Yul Brynner, Anne Baxter",G,7.9,N/A,"81,627",Won 1 Oscar. 13 wins & 12 nominations total,"$65,500,000",United States,English,"To escape the edict of Egypt's Pharaoh Rameses I (Ian Keith), condemning all newborn Hebrew males, the infant Moses (Fraser C. Heston) is set adrift on the Nile in a reed basket. Saved by the pharaoh's daughter Bithiah (Nina Foch), he is adopted by her and brought up in the court of her brother, Pharaoh Sethi (Sir Cedric Hardwicke). Moses (Charlton Heston) gains Sethi's favor and the love of the throne Princess Nefretiri (Anne Baxter), as well as the hatred of Sethi's son, Rameses II (Yul Brynner). When his Hebrew heritage is revealed, Moses is cast out of Egypt, and makes his way across the desert where he marries, has a son, and is commanded by God to return to Egypt to free the Hebrews from slavery. In Egypt, Moses' fiercest enemy proves to be not Rameses II, but someone near to him who can ""harden his heart"".",https://m.media-amazon.com/images/M/MV5BMDRiZmNjZDAtN2I0Ny00YjIyLTk3NTUtODUyYTJlMTJhY2U0XkEyXkFqcGc@._V1_SX300.jpg
The Insider,1999,05 Nov 1999,"Biography, Drama, History",157 min,Michael Mann,"Marie Brenner, Eric Roth, Michael Mann","Russell Crowe, Al Pacino, Christopher Plummer",R,7.8,85,"187,095",Nominated for 7 Oscars. 23 wins & 58 nominations total,"$29,089,912",United States,"English, Japanese, Arabic, Persian","Balls-out 60 Minutes (1968) Producer Lowell Bergman (Al Pacino) sniffs a story when a former research biologist for Brown &amp; Williamson, Jeff Wigand (Russell Crowe), won't talk to him. When the company leans hard on Wigand to honor a confidentiality agreement, he gets his back up. Trusting Bergman, and despite a crumbling marriage, he goes on camera for a Mike Wallace (Christopher Plummer) interview and risks arrest for contempt of court. Westinghouse is negotiating to buy CBS, so CBS attorneys advise CBS News to shelve the interview and avoid a lawsuit. 60 Minutes (1968) and CBS News bosses cave, Wigand is hung out to dry, Bergman is compromised, and the CEOs of Big Tobacco may get away with perjury. Will the truth come out?",https://m.media-amazon.com/images/M/MV5BZGY3ZjEyODAtNjAwMC00ZTEwLTg3NDctYzMzYTZkMjBmZDQwXkEyXkFqcGc@._V1_SX300.jpg
Ambulance,2022,08 Apr 2022,"Action, Crime, Drama",136 min,Michael Bay,"Chris Fedak, Laurits Munch-Petersen, Lars Andreas Pedersen","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",R,6.1,55,"108,338",11 nominations total,"$22,781,115","United States, Japan","English, Spanish, Cantonese",Two robbers steal an ambulance after their heist goes awry.,https://m.media-amazon.com/images/M/MV5BZDZiY2RmNjgtYzYyZi00ZGEyLTlkOTUtZDc5OTUzY2NlMmEyXkEyXkFqcGc@._V1_SX300.jpg
Dick Tracy,1990,15 Jun 1990,"Action, Comedy, Crime",105 min,Warren Beatty,"Chester Gould, Jim Cash, Jack Epps Jr.","Warren Beatty, Madonna, Al Pacino",PG,6.2,68,"68,468",Won 3 Oscars. 9 wins & 37 nominations total,"$103,738,726",United States,English,"All Tess Trueheart wants is to settle down to a quiet life with her boyfriend, detective Dick Tracy. But there's something pretty rotten going on in town, with someone pretty rotten behind it, and Tracy has his hands full with the likes of villain Big Boy Caprice and with the almost irresistible Breathless Mahoney.",https://m.media-amazon.com/images/M/MV5BZDRmNmU2OGUtOWVjNC00NTI5LTg4ODQtNmY0NTNkY2ZhM2RkXkEyXkFqcGc@._V1_SX300.jpg
Pinocchio,1940,23 Feb 1940,"Animation, Adventure, Comedy",88 min,"Norman Ferguson, T. Hee, Wilfred Jackson","Carlo Collodi, Ted Sears, Otto Englander","Dickie Jones, Christian Rub, Mel Blanc",Approved,7.5,99,"167,654",Won 2 Oscars. 9 wins total,"$84,254,167",United States,English,"Inventor Gepetto creates a wooden marionette called Pinocchio. His wish for Pinocchio to be a real boy is unexpectedly granted by a fairy. The fairy assigns Jiminy Cricket to act as Pinocchio's ""conscience"" and keep him out of trouble. Jiminy is not too successful in this endeavor and most of the film is spent with Pinocchio deep in trouble.",https://m.media-amazon.com/images/M/MV5BZGU3MTE3NjYtMGU1Zi00NjBmLTg4MzItZjg0OGZmNjZiYjQwXkEyXkFqcGc@._V1_SX300.jpg
Minions: The Rise of Gru,2022,01 Jul 2022,"Animation, Adventure, Comedy",87 min,"Kyle Balda, Brad Ableson, Jonathan del Val","Matthew Fogel, Brian Lynch","Steve Carell, Pierre Coffin, Alan Arkin",PG,6.5,56,"98,505",1 win & 18 nominations total,"$370,549,695","United States, France","English, Vietnamese","In the heart of the 1970s, amidst a flurry of feathered hair and flared jeans, Gru (Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making back-up from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto - a new Minion sporting braces and a desperate need to please - deploy their skills as they and Gru build their first lair, experiment with their first weapons, and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Alan Arkin), Gru interviews to become their newest member. It doesn't go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles, and discover that even bad guys need a little help from their friends.",https://m.media-amazon.com/images/M/MV5BZTAzMTkyNmQtNTMzZS00MTM1LWI4YzEtMjVlYjU0ZWI5Y2IzXkEyXkFqcGc@._V1_SX300.jpg
She Said,2022,18 Nov 2022,"Drama, History",129 min,Maria Schrader,"Rebecca Lenkiewicz, Jodi Kantor, Megan Twohey","Zoe Kazan, Carey Mulligan, Patricia Clarkson",R,7.3,74,"46,718",Nominated for 2 BAFTA 14 wins & 43 nominations total,"$5,825,995","United States, Japan","English, Hebrew, Cantonese",Jodi Kantor and Megan Twohey's quest to break the Harvey Weinstein scandal.,https://m.media-amazon.com/images/M/MV5BNjVmNTk1NzktMjk3OC00NDYwLWIzMzMtY2EzZWU0YjZlMmRkXkEyXkFqcGc@._V1_SX300.jpg
Good Luck Chuck,2007,21 Sep 2007,"Comedy, Romance",96 min,Mark Helfrich,"Josh Stolberg, Steve Glenn","Dane Cook, Jessica Alba, Dan Fogler",R,5.6,19,"96,879",1 win & 3 nominations total,"$35,017,297","United States, Canada",English,"Early thirty-something dentist Dr. Charlie Logan has never experienced true love, despite having had a number of girlfriends over the years. After an announcement by one of his ex-girlfriends as such at her wedding, Charlie gets a reputation as being a good luck charm. Every woman he has slept with has met and married her dream man immediately following. He is encouraged to exploit this reputation by his long time best friend, Dr. Stu Klaminsky, a sex obsessed, sex starved schlub who became a plastic surgeon just so that he could masturbate over the sight of women's breasts. Charlie doesn't want to be solely a stepping stone for women, which is how they end up treating him once he gains this reputation as a lucky charm, but rather one's true love. He believes the woman of his dreams is accident-prone Cam Wexler, who works as the penguin caretaker at the aquarium. Cam initially doesn't want to date Charlie because of his reputation as a one-night stand type of guy. Charlie in turn doesn't want to sleep with Cam as he is certain she will find her true love after they do. Cam's true love seems destined to be penguin expert Howard Blaine. To get to true happiness, Charlie feels he needs to speak to Anisha Carpenter, who he feels is the cause of his current problems. Anisha ends up helping him in a way he doesn't expect.",https://m.media-amazon.com/images/M/MV5BMTU1NzM1MTE1OV5BMl5BanBnXkFtZTYwNDQyMjU3._V1_SX300.jpg
Hot Summer Nights,2017,27 Jul 2018,"Crime, Drama, Romance",107 min,Elijah Bynum,Elijah Bynum,"Timothée Chalamet, Maika Monroe, Alex Roe",R,6.4,44,"25,847",3 nominations total,N/A,United States,English,"In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.",https://m.media-amazon.com/images/M/MV5BYzQ2Y2EyMzgtYjQ0YS00Njk4LTlkODQtMjczODdlZGI3ZjI3XkEyXkFqcGc@._V1_SX300.jpg
The Cannonball Run,1981,19 Jun 1981,"Action, Comedy, Sport",95 min,Hal Needham,Brock Yates,"Burt Reynolds, Roger Moore, Farrah Fawcett",PG,6.2,28,"42,098",1 win & 4 nominations total,"$72,179,579","Hong Kong, United States","English, Cantonese, Japanese, Arabic","This comedy movie brings Burt Reynolds, Sir Roger Moore, Farrah Fawcett, Dom DeLuise, Dean Martin, Sammy Davis, Jr. and an all-star cast to the starting line of the ultimate auto race, a madcap cross-country scramble that roars full-speed ahead. This action-comedy was inspired by an actual event: the Cannonball Baker Sea-To-Shining-Sea Memorial Trophy Dash, an anything goes, all-stops-out, and very much illegal, competition that has grown to legendary proportions within the last ten years.",https://m.media-amazon.com/images/M/MV5BMjk5YWQ1NmItY2NkNS00NjI0LTgyNzktNGI0MWU1NWQ1MTNhXkEyXkFqcGc@._V1_SX300.jpg
An American Crime,2007,07 Dec 2007,"Biography, Crime, Drama",98 min,Tommy O'Haver,"Tommy O'Haver, Irene Turner","Elliot Page, Hayley McFarland, Nick Searcy",R,7.2,N/A,"38,430",Nominated for 1 Primetime Emmy. 3 nominations total,N/A,United States,English,"Based on a true story that shocked the nation in 1965, the film recounts one of the most shocking crimes ever committed against a single victim. Sylvia and Jennie Fae Likens, the two daughters of traveling carnival workers are left for an extended stay at the Indianapolis home of single mother Gertrude Baniszewski and her six children. Times are tough, and Gertrude's financial needs cause her to make this arrangement before realizing how the burden will push her unstable nature to a breaking point. What transpires in the next three months is both riveting and horrific.",https://m.media-amazon.com/images/M/MV5BOGExMjY3YzctY2Y1Yi00ZWU3LTg1ODktODAxNDQ1ZTAxMjIzXkEyXkFqcGc@._V1_SX300.jpg
The Giver,2014,15 Aug 2014,"Drama, Romance, Sci-Fi",97 min,Phillip Noyce,"Michael Mitnick, Robert B. Weide, Lois Lowry","Brenton Thwaites, Jeff Bridges, Meryl Streep",PG-13,6.4,47,"128,044",3 wins & 6 nominations total,"$45,090,374","Canada, South Africa, United States",English,"A youth named Jonas lives in an equalized, literally colorless, but pleasant society with no knowledge of love or pain and such. When he and his best friends Asher and Fiona come of age, they receive their societal roles, with Jonas given the rare position of Receiver (of Memories). Because of this, he meets a mentoring elder Receiver (later called The Giver). They look at memories of the past world, of joy, of pain, and of love. As Jonas receives these memories, he breaks the cardinal rule against sharing them with others, thereby getting in trouble with the watchful Chief Elder. When Jonas discovers that an infant boy named Gabriel will be terminated, his efforts to save the child puts him squarely against his society. Deciding that all must re-learn to see color, to feel pain, and to show and receive love, Jonas becomes public enemy number one.",https://m.media-amazon.com/images/M/MV5BMTY1MTIxMjg2Ml5BMl5BanBnXkFtZTgwMjUyNzgwMjE@._V1_SX300.jpg
Roma,2018,14 Dec 2018,Drama,135 min,Alfonso Cuarón,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",R,7.7,96,"174,192",Won 3 Oscars. 257 wins & 232 nominations total,N/A,"Mexico, United States","Spanish, Mixtec, English, Japanese, German, French, Norwegian","Cleo is one of two domestic workers who help Antonio and Sofía take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When Sofía decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family.",https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_SX300.jpg
Fred Claus,2007,09 Nov 2007,"Comedy, Family, Fantasy",116 min,David Dobkin,"Dan Fogelman, Jessie Nelson","Vince Vaughn, Paul Giamatti, Elizabeth Banks",PG,5.7,42,"49,560",N/A,"$72,006,777",United States,English,"During childhood, Fred Claus suffered his younger brother Nick's saintliness. Jump ahead: Fred is a fast-talking, genial but self-centered guy in Chicago looking for $50,000 to open an off-track-betting shop. When one scam goes awry, he calls Nick at the North Pole for a loan: Nick will give him the money only if Fred comes up to help a few days with the Christmas rush. After his girlfriend dumps him, Fred heads north. Santa's facing an audit from an efficiency expert, and it's not pleasant. Fred's job is to review charts and determine who's naughty and who's nice. Is there any fraternal feeling left, can either learn from the other, and what about Santa getting fired?",https://m.media-amazon.com/images/M/MV5BMTY0NDEwNzc0N15BMl5BanBnXkFtZTcwNjgxNzUzMw@@._V1_SX300.jpg
